"File1","File2","Similarity","File1InBlog","File2InBlog","File1Words","File2Words"
"07.blog\e25-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e25-na-kotle-baxi\default.ru.md","1","True","False","481","486"
"07.blog\e35-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e35-na-kotle-baxi\default.ru.md","0,997311827956989","True","False","625","630"
"07.blog\e03-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e03-na-kotle-baxi\default.ru.md","0,99604743083004","True","False","333","338"
"07.blog\f43-baxi-main-5\default.ru.md","08.kody-oshibok\baxi\oshibka-f43-na-kotle-baxi-main-5\default.ru.md","0,99604743083004","True","False","372","379"
"07.blog\duca\default.ru.md","07.blog\duca-0\default.ru.md","0,99546485260771","True","True","679","679"
"07.blog\kody-oshibki-koreastar\default.ru.md","08.kody-oshibok\koreastar\kody-oshibok-kotla-koreastar\default.ru.md","0,995327102803738","True","False","319","324"
"07.blog\e06-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e06-na-gazovom-kotle-baxi\default.ru.md","0,993710691823899","True","False","465","471"
"07.blog\e01-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e01-na-gazovom-kotle-baxi\default.ru.md","0,993333333333333","True","False","457","463"
"07.blog\e10-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e10-na-gazovom-kotle-baxi\default.ru.md","0,993197278911565","True","False","461","467"
"04.contact-us\02.feedback\default.ru.md","07.blog\contact-us\feedback\default.ru.md","0,991228070175439","False","True","148","145"
"07.blog\e02-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e02-na-kotle-baxi\default.ru.md","0,991071428571429","True","False","323","328"
"07.blog\e05-baxi\default.ru.md","08.kody-oshibok\baxi\oshibka-e05-na-kotle-baxi\default.ru.md","0,990291262135922","True","False","482","483"
"02.uslugi\02.remont-kotlov\remont-elektricheskikh-kotlov-vaillant\default.ru.md","07.blog\remont-electrokotlov-vaillant\default.ru.md","0,989473684210526","False","True","773","762"
"07.blog\zamena-sekcii-chugunnogo-kotla\default.ru.md","07.blog\zamena-sekcij-kotla\default.ru.md","0,983640081799591","True","True","677","668"
"02.uslugi\03.remont-kolonok\remont-gazovykh-kolonok-ariston\default.ru.md","07.blog\remont-gazovyx-kolonok-ariston\default.ru.md","0,961424332344214","False","True","595","581"
"02.uslugi\02.remont-kotlov\remont-kotla-protherm\default.ru.md","07.blog\remont-kotlov-protherm\default.ru.md","0,934826883910387","False","True","795","791"
"02.uslugi\02.remont-kotlov\remont-gazovykh-kotlov-thermona\default.ru.md","07.blog\remont-kotlov-thermona\default.ru.md","0,926243567753002","False","True","911","876"
"02.uslugi\02.remont-kotlov\remont-kotlov-mora\default.ru.md","07.blog\remont-kotlov-mora\default.ru.md","0,894021739130435","False","True","602","636"
"02.uslugi\03.remont-kolonok\default.ru.md","07.blog\uslugi\remont-kolonok\default.ru.md","0,876595744680851","False","True","334","373"
"07.blog\anod-mor-flo\default.ru.md","09.zapchasti\mor-flo\anod-mor-flo\default.ru.md","0,876288659793814","True","False","118","128"
"02.uslugi\02.remont-kotlov\remont-kotlov-attack\default.ru.md","07.blog\remont-gazovyx-kotlov-attack\default.ru.md","0,831742243436754","False","True","1589","1526"
"07.blog\ekco-r2-2\default.ru.md","08.kody-oshibok\kospel\kotly-ekco-r2\default.ru.md","0,829015544041451","True","False","236","292"
"04.contact-us\default.ru.md","07.blog\contact-us\default.ru.md","0,816326530612245","False","True","203","166"
"02.uslugi\03.remont-kolonok\remont-gazovykh-kolonok-bosch\default.ru.md","07.blog\remont-gazovoj-kolonki-bosch-bosh\default.ru.md","0,801541425818882","False","True","684","789"
